target_domain,repeat,seed,epoch,split,loss,acc,precision,recall,f1
雨天,3,2,1,train,18.224293554982832,0.13709677419354838,0.07716862882965493,0.09967281947114086,0.07414999736803375
雨天,3,2,1,source_val,2.3473341622705126,0.19066147859922178,0.03534175574991902,0.11212557603686636,0.04720859497645212
雨天,3,2,1,target_test,2.566811983401959,0.19230769230769232,0.032051282051282055,0.16666666666666666,0.05376344086021506
雨天,3,2,2,train,15.51258296351279,0.2006048387096774,0.15925778888781836,0.13954440968719825,0.1135495466863025
雨天,3,2,2,source_val,2.011716857494547,0.29571984435797666,0.1751832572528751,0.22934273585364665,0.16574429700996116
雨天,3,2,2,target_test,2.9852744065798245,0.19230769230769232,0.028571428571428574,0.14285714285714285,0.04761904761904762
雨天,3,2,3,train,-55.40557393720073,0.25201612903225806,0.19229773255058732,0.20131492224561323,0.18926959254958908
雨天,3,2,3,source_val,8.666851281192052,0.23735408560311283,0.17404710209546556,0.20267134459242755,0.13759078884078885
雨天,3,2,3,target_test,3.4306326646071215,0.07692307692307693,0.019230769230769232,0.125,0.03333333333333334
雨天,3,2,4,train,-23157.656919910063,0.1310483870967742,0.10660750127455011,0.1108421253985266,0.09417556378743437
雨天,3,2,4,source_val,51.579382336093296,0.0933852140077821,0.023961794019933556,0.09761904761904762,0.03059434300035804
雨天,3,2,4,target_test,17.471405286055344,0.0,0.0,0.0,0.0
雨天,3,2,5,train,-411778.2347530242,0.0907258064516129,0.07972287780520629,0.1023480420680847,0.07300656729978032
雨天,3,2,5,source_val,8.298364297889085,0.12062256809338522,0.02194235923230322,0.10476190476190476,0.033694083694083686
雨天,3,2,5,target_test,2.6376248689798207,0.2692307692307692,0.04,0.125,0.06060606060606061
雨天,3,2,6,train,-2246797.216733871,0.07762096774193548,0.14682867554061296,0.10329560656483691,0.057439618824352764
雨天,3,2,6,source_val,2.6420426192450615,0.038910505836575876,0.0027793218454697055,0.07142857142857142,0.005350454788657035
雨天,3,2,6,target_test,2.642141213783851,0.0,0.0,0.0,0.0
雨天,3,2,7,train,-7346997.052419355,0.04032258064516129,0.00290065264684554,0.07142857142857142,0.005574912891986063
雨天,3,2,7,source_val,2.640975181230775,0.038910505836575876,0.0027793218454697055,0.07142857142857142,0.005350454788657035
雨天,3,2,7,target_test,2.640870607816256,0.0,0.0,0.0,0.0
雨天,3,2,8,train,-18298227.241935484,0.04032258064516129,0.002888920988010978,0.07142857142857142,0.005553241704845203
雨天,3,2,8,source_val,2.6399343663152552,0.038910505836575876,0.0027793218454697055,0.07142857142857142,0.005350454788657035
雨天,3,2,8,target_test,2.6396700785710263,0.0,0.0,0.0,0.0
雨天,3,2,9,train,-41011182.838709675,0.0625,0.00926089325036637,0.0842436974789916,0.016465994793146834
雨天,3,2,9,source_val,2.6389689825852094,0.06614785992217899,0.004724847137298499,0.07142857142857142,0.008863399374348279
雨天,3,2,9,target_test,2.638609134233915,0.3076923076923077,0.05128205128205129,0.16666666666666666,0.0784313725490196
雨天,3,2,10,train,-78114888.38709678,0.06854838709677419,0.004896313364055299,0.07142857142857142,0.0091644204851752
雨天,3,2,10,source_val,2.6379473413474828,0.06614785992217899,0.004724847137298499,0.07142857142857142,0.008863399374348279
雨天,3,2,10,target_test,2.6372628211975098,0.3076923076923077,0.05128205128205129,0.16666666666666666,0.0784313725490196
雨天,3,2,11,train,-138227314.06451613,0.06854838709677419,0.004901254144442842,0.07142857142857142,0.009173074328881694
雨天,3,2,11,source_val,2.636977998199166,0.06614785992217899,0.004724847137298499,0.07142857142857142,0.008863399374348279
雨天,3,2,11,target_test,2.6361018877763014,0.3076923076923077,0.05128205128205129,0.16666666666666666,0.0784313725490196
雨天,3,2,12,train,-229656906.58064517,0.06854838709677419,0.004906204906204906,0.07142857142857142,0.009181744531460978
雨天,3,2,12,source_val,2.636033258549434,0.06614785992217899,0.004724847137298499,0.07142857142857142,0.008863399374348279
雨天,3,2,12,target_test,2.635051892353938,0.3076923076923077,0.05128205128205129,0.16666666666666666,0.0784313725490196
雨天,3,2,13,train,-363915089.5483871,0.06854838709677419,0.004906204906204906,0.07142857142857142,0.009181744531460978
雨天,3,2,13,source_val,2.6350649154603714,0.06614785992217899,0.004724847137298499,0.07142857142857142,0.008863399374348279
雨天,3,2,13,target_test,2.6339055391458364,0.3076923076923077,0.05128205128205129,0.16666666666666666,0.0784313725490196
雨天,3,2,14,train,-530254145.0322581,0.11290322580645161,0.010921556122448979,0.06803221288515406,0.017939449641965484
雨天,3,2,14,source_val,2.634087887255598,0.12062256809338522,0.008615897720956087,0.07142857142857142,0.015376984126984128
雨天,3,2,14,target_test,2.6327704649705153,0.07692307692307693,0.012820512820512822,0.16666666666666666,0.02380952380952381
雨天,3,2,15,train,-783432249.8064516,0.12096774193548387,0.008640552995391706,0.07142857142857142,0.01541623843782117
雨天,3,2,15,source_val,2.633128750648944,0.12062256809338522,0.008615897720956087,0.07142857142857142,0.015376984126984128
