target_domain,repeat,seed,epoch,split,loss,acc,precision,recall,f1
逆光,1,0,1,train,18.294953038615564,0.12096774193548387,0.06862622357164938,0.07431342351092096,0.04824758254537198
逆光,1,0,1,source_val,2.3547214162952703,0.1867704280155642,0.1005207638611,0.12705078619537144,0.0829761904761905
逆光,1,0,1,target_test,2.4195948420344173,0.21621621621621623,0.07727272727272727,0.13333333333333333,0.08285714285714285
逆光,1,0,2,train,15.855213503683768,0.21370967741935484,0.26275353401047097,0.1518280646290414,0.12054594380482608
逆光,1,0,2,source_val,2.067994316264349,0.2801556420233463,0.16370262390670556,0.2151209305061975,0.148731868363661
逆光,1,0,2,target_test,2.3326489860947066,0.2702702702702703,0.1130952380952381,0.24583333333333335,0.14843137254901964
逆光,1,0,3,train,-45.423003335152906,0.2086693548387097,0.20199824151817805,0.16805151095153278,0.1669554597276655
逆光,1,0,3,source_val,8.503496771192737,0.22178988326848248,0.14612469532420272,0.2011754381239675,0.14467608993058692
逆光,1,0,3,target_test,12.428276165111646,0.10810810810810811,0.13857142857142857,0.10833333333333332,0.09174825174825176
逆光,1,0,4,train,-18555.085762762254,0.11491935483870967,0.0934983170136856,0.1085737444071875,0.09228664371384941
逆光,1,0,4,source_val,22.79555342262357,0.14007782101167315,0.05542817862406707,0.14767256778641977,0.07014536015239745
逆光,1,0,4,target_test,51.98761563687711,0.1891891891891892,0.07412698412698412,0.2333333333333333,0.10052631578947369
逆光,1,0,5,train,-351075.39894153224,0.11895161290322581,0.08170662779184665,0.09998235247301772,0.08059969153206491
逆光,1,0,5,source_val,30.249333788912583,0.16731517509727625,0.047762694821518355,0.13889873567292924,0.06934691324935227
逆光,1,0,5,target_test,57.884483131202494,0.13513513513513514,0.06087662337662338,0.15416666666666667,0.06955128205128205
逆光,1,0,6,train,-2061870.1310483871,0.11391129032258064,0.08411911388303862,0.1021803544694615,0.07872724642653721
逆光,1,0,6,source_val,2.6401651248857667,0.12062256809338522,0.008615897720956087,0.07142857142857142,0.015376984126984128
逆光,1,0,6,target_test,2.6294470348873653,0.16216216216216217,0.018018018018018018,0.1111111111111111,0.031007751937984496
逆光,1,0,7,train,-7093612.326612903,0.11995967741935484,0.008638211382113821,0.07083333333333333,0.015398550724637684
逆光,1,0,7,source_val,2.6391450254833653,0.12062256809338522,0.008615897720956087,0.07142857142857142,0.015376984126984128
逆光,1,0,7,target_test,2.628439258884739,0.16216216216216217,0.018018018018018018,0.1111111111111111,0.031007751937984496
