best_acc,best_acc_epoch,best_epoch_by_f1,best_epoch_metrics,best_f1,best_f1_epoch,best_f1_value,best_precision,best_precision_epoch,best_recall,best_recall_epoch,repeat,seed,target_domain
0.30833333333333335,3,3,"{'acc': 0.30833333333333335, 'precision': 0.07555282555282555, 'recall': 0.17073170731707316, 'f1': 0.10376811594202899, 'loss': 4.215891853968302}",0.10376811594202899,3,0.10376811594202899,0.16401515151515153,2,0.17073170731707316,3,1,0,黑天
0.35,3,3,"{'acc': 0.35, 'precision': 0.05914085914085914, 'recall': 0.09917355371900825, 'f1': 0.0678374655647383, 'loss': 4.363751103480657}",0.0678374655647383,3,0.0678374655647383,0.05914085914085914,3,0.125,1,2,1,黑天
0.3416666666666667,9,3,"{'acc': 0.175, 'precision': 0.11450862570265556, 'recall': 0.11753019707565163, 'f1': 0.10391758778855555, 'loss': 4.196992953618367}",0.10391758778855555,3,0.10391758778855555,0.11450862570265556,3,0.125,1,3,2,黑天
0.3333333333333333,3,3,"{'acc': 0.3333333333333333, 'precision': 0.08979591836734693, 'recall': 0.17804878048780487, 'f1': 0.11877043819489863, 'loss': 17.155582292874655}",0.11877043819489863,3,0.11877043819489863,0.1623549323017408,4,0.23719512195121953,4,4,3,黑天
0.175,3,3,"{'acc': 0.175, 'precision': 0.026250000000000002, 'recall': 0.08076923076923077, 'f1': 0.03962264150943397, 'loss': 10.003297328948975}",0.03962264150943397,3,0.03962264150943397,0.026250000000000002,3,0.125,1,5,4,黑天
0.2702702702702703,2,2,"{'acc': 0.2702702702702703, 'precision': 0.1130952380952381, 'recall': 0.24583333333333335, 'f1': 0.14843137254901964, 'loss': 2.3326489860947066}",0.14843137254901964,2,0.14843137254901964,0.13857142857142857,3,0.24583333333333335,2,1,0,逆光
0.21621621621621623,1,2,"{'acc': 0.16216216216216217, 'precision': 0.11833333333333333, 'recall': 0.1125, 'f1': 0.1064957264957265, 'loss': 2.3433109167459847}",0.1064957264957265,2,0.1064957264957265,0.11833333333333333,2,0.175,3,2,1,逆光
0.16216216216216217,1,3,"{'acc': 0.10810810810810811, 'precision': 0.05694444444444444, 'recall': 0.06666666666666667, 'f1': 0.05824175824175824, 'loss': 24.461339099987132}",0.05824175824175824,3,0.05824175824175824,0.05694444444444444,3,0.1111111111111111,6,3,2,逆光
0.16216216216216217,1,2,"{'acc': 0.16216216216216217, 'precision': 0.07348484848484849, 'recall': 0.07638888888888888, 'f1': 0.07436204146730462, 'loss': 2.578866501112242}",0.07436204146730462,2,0.07436204146730462,0.07348484848484849,2,0.1111111111111111,6,4,3,逆光
0.16216216216216217,1,3,"{'acc': 0.13513513513513514, 'precision': 0.04132231404958678, 'recall': 0.07575757575757576, 'f1': 0.053475935828877004, 'loss': 31.383299956450593}",0.053475935828877004,3,0.053475935828877004,0.04132231404958678,3,0.1,1,5,4,逆光
0.20454545454545456,3,3,"{'acc': 0.20454545454545456, 'precision': 0.08330889028563447, 'recall': 0.16626984126984126, 'f1': 0.08308390022675738, 'loss': 15.5100554263953}",0.08308390022675738,3,0.08308390022675738,0.08330889028563447,3,0.16626984126984126,3,1,0,雾天
0.1893939393939394,1,1,"{'acc': 0.1893939393939394, 'precision': 0.04170692431561997, 'recall': 0.12698412698412698, 'f1': 0.05546332165037201, 'loss': 2.5678335392113887}",0.05546332165037201,1,0.05546332165037201,0.04170692431561997,1,0.12698412698412698,1,2,1,雾天
0.19696969696969696,2,2,"{'acc': 0.19696969696969696, 'precision': 0.04242424242424243, 'recall': 0.14285714285714285, 'f1': 0.0617283950617284, 'loss': 3.057111610065807}",0.0617283950617284,2,0.0617283950617284,0.04933691756272401,3,0.14285714285714285,2,3,2,雾天
