target_domain,repeat,seed,epoch,split,loss,acc,precision,recall,f1
雨天,5,4,1,train,18.13469745266822,0.1502016129032258,0.09757880632865354,0.10230994755964506,0.08426389594115302
雨天,5,4,1,source_val,2.337637456010752,0.19844357976653695,0.04451030146947432,0.11658026113671274,0.057940925287864056
雨天,5,4,1,target_test,2.579520115485558,0.19230769230769232,0.032051282051282055,0.16666666666666666,0.05376344086021506
雨天,5,4,2,train,15.780806833697904,0.21975806451612903,0.1564125937175916,0.1539086323325904,0.13072270652801682
雨天,5,4,2,source_val,2.098563054192391,0.27626459143968873,0.18201848366841195,0.17965352497491965,0.12556648929480688
雨天,5,4,2,target_test,2.86996368261484,0.07692307692307693,0.012820512820512822,0.16666666666666666,0.02380952380952381
雨天,5,4,3,train,-10.87229617949455,0.2368951612903226,0.2223733112125126,0.18499369357324058,0.17662594909718718
雨天,5,4,3,source_val,15.582175124943952,0.17120622568093385,0.042259316770186336,0.1383197447713577,0.06459102052322392
雨天,5,4,3,target_test,2.9434890930469217,0.038461538461538464,0.005714285714285714,0.07142857142857142,0.010582010582010581
雨天,5,4,4,train,-16064.360538359611,0.15120967741935484,0.12055125370604432,0.12908257056966785,0.11829937233409613
雨天,5,4,4,source_val,14.560476005773136,0.1556420233463035,0.060507986978575214,0.1341880341880342,0.07468729427254772
雨天,5,4,4,target_test,2.653002170416025,0.0,0.0,0.0,0.0
雨天,5,4,5,train,-342961.88722278224,0.10887096774193548,0.10512571509290758,0.09716037870779484,0.07639477766940779
雨天,5,4,5,source_val,29.330751536885124,0.14785992217898833,0.028611792467476017,0.12783882783882786,0.045834727333556376
雨天,5,4,5,target_test,2.6564284471365123,0.0,0.0,0.0,0.0
雨天,5,4,6,train,-2022524.6955645161,0.11088709677419355,0.06791518620871166,0.07472068800841092,0.04100705371284162
雨天,5,4,6,source_val,2.636569262478602,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,6,target_test,2.636670259328989,0.0,0.0,0.0,0.0
雨天,5,4,7,train,-6844803.814516129,0.1219758064516129,0.04416909620991254,0.07886904761904763,0.027435187515731183
雨天,5,4,7,source_val,2.6355994026020806,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,7,target_test,2.6356101036071777,0.0,0.0,0.0,0.0
雨天,5,4,8,train,-17886098.06451613,0.11794354838709678,0.032221416485375874,0.07380952380952381,0.019380256437477147
雨天,5,4,8,source_val,2.6346437615643215,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,8,target_test,2.6345238869006815,0.0,0.0,0.0,0.0
雨天,5,4,9,train,-40098204.96774194,0.11693548387096774,0.008352534562211982,0.07142857142857142,0.014956162970603402
雨天,5,4,9,source_val,2.633693778561247,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,9,target_test,2.6333685471461368,0.0,0.0,0.0,0.0
雨天,5,4,10,train,-77158213.29032259,0.1159274193548387,0.02613240418118467,0.0710899014778325,0.01650587507730365
雨天,5,4,10,source_val,2.632783500137032,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,10,target_test,2.6323406512920675,0.0,0.0,0.0,0.0
雨天,5,4,11,train,-140167874.70967743,0.11693548387096774,0.008352534562211982,0.07142857142857142,0.014956162970603402
雨天,5,4,11,source_val,2.631863000327975,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,11,target_test,2.6312116659604587,0.0,0.0,0.0,0.0
雨天,5,4,12,train,-233687963.61290324,0.1159274193548387,0.008314054366685945,0.0708128078817734,0.014880952380952382
雨天,5,4,12,source_val,2.6309569744748362,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,12,target_test,2.6303245287675123,0.0,0.0,0.0,0.0
雨天,5,4,13,train,-361701200.2580645,0.11693548387096774,0.008352534562211982,0.07142857142857142,0.014956162970603402
雨天,5,4,13,source_val,2.630067851292948,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,13,target_test,2.6293642704303446,0.0,0.0,0.0,0.0
雨天,5,4,14,train,-540445333.6774193,0.11693548387096774,0.00836096295228485,0.07142857142857142,0.014969673506258873
雨天,5,4,14,source_val,2.629172897524407,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,14,target_test,2.6281797335698056,0.0,0.0,0.0,0.0
雨天,5,4,15,train,-758552571.8709677,0.11693548387096774,0.008352534562211982,0.07142857142857142,0.014956162970603402
雨天,5,4,15,source_val,2.628287738399283,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,15,target_test,2.6271330943474402,0.0,0.0,0.0,0.0
雨天,5,4,16,train,-1059108632.7741935,0.1159274193548387,0.008288885685454809,0.0708128078817734,0.014840624596722156
雨天,5,4,16,source_val,2.627420794639142,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,16,target_test,2.626382149182833,0.0,0.0,0.0,0.0
雨天,5,4,17,train,-1475622096.516129,0.11693548387096774,0.008352534562211982,0.07142857142857142,0.014956162970603402
雨天,5,4,17,source_val,2.6265813376653053,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,17,target_test,2.6253253680009108,0.0,0.0,0.0,0.0
雨天,5,4,18,train,-1946568902.1935484,0.11693548387096774,0.00836096295228485,0.07142857142857142,0.014969673506258873
雨天,5,4,18,source_val,2.6256864330647987,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,18,target_test,2.6243786078232985,0.0,0.0,0.0,0.0
雨天,5,4,19,train,-2548258813.935484,0.11693548387096774,0.008352534562211982,0.07142857142857142,0.014956162970603402
雨天,5,4,19,source_val,2.6248683289331223,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,19,target_test,2.623523161961482,0.0,0.0,0.0,0.0
雨天,5,4,20,train,-3276977920.0,0.11693548387096774,0.008352534562211982,0.07142857142857142,0.014956162970603402
雨天,5,4,20,source_val,2.6240281177402007,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,20,target_test,2.6224255011631894,0.0,0.0,0.0,0.0
雨天,5,4,21,train,-4262282145.032258,0.11693548387096774,0.008352534562211982,0.07142857142857142,0.014956162970603402
雨天,5,4,21,source_val,2.623207582110097,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,21,target_test,2.6216444235581617,0.0,0.0,0.0,0.0
雨天,5,4,22,train,-5325613047.741936,0.11693548387096774,0.00836096295228485,0.07142857142857142,0.014969673506258873
雨天,5,4,22,source_val,2.622373858314544,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,22,target_test,2.6206279351161075,0.0,0.0,0.0,0.0
雨天,5,4,23,train,-6575688307.612904,0.11693548387096774,0.008352534562211982,0.07142857142857142,0.014956162970603402
雨天,5,4,23,source_val,2.62155815228414,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,23,target_test,2.619713673224816,0.0,0.0,0.0,0.0
雨天,5,4,24,train,-8042671624.258064,0.11693548387096774,0.008352534562211982,0.07142857142857142,0.014956162970603402
雨天,5,4,24,source_val,2.620748054192688,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,24,target_test,2.618800713465764,0.0,0.0,0.0,0.0
雨天,5,4,25,train,-9790224037.161291,0.11693548387096774,0.008352534562211982,0.07142857142857142,0.014956162970603402
雨天,5,4,25,source_val,2.620001060025701,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,25,target_test,2.6179339518913856,0.0,0.0,0.0,0.0
雨天,5,4,26,train,-11951458006.709677,0.11693548387096774,0.008352534562211982,0.07142857142857142,0.014956162970603402
雨天,5,4,26,source_val,2.619181466937529,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,26,target_test,2.617097946313711,0.0,0.0,0.0,0.0
雨天,5,4,27,train,-14322226770.580645,0.11693548387096774,0.008352534562211982,0.07142857142857142,0.014956162970603402
雨天,5,4,27,source_val,2.618416079287399,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,27,target_test,2.616174037639911,0.0,0.0,0.0,0.0
雨天,5,4,28,train,-16574047529.290323,0.11693548387096774,0.008352534562211982,0.07142857142857142,0.014956162970603402
雨天,5,4,28,source_val,2.617626891525803,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,28,target_test,2.615417187030499,0.0,0.0,0.0,0.0
雨天,5,4,29,train,-20047692403.612904,0.11693548387096774,0.008352534562211982,0.07142857142857142,0.014956162970603402
雨天,5,4,29,source_val,2.616881364978241,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,29,target_test,2.6144876663501444,0.0,0.0,0.0,0.0
雨天,5,4,30,train,-23128042826.322582,0.11693548387096774,0.008352534562211982,0.07142857142857142,0.014956162970603402
雨天,5,4,30,source_val,2.61610756773893,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
雨天,5,4,30,target_test,2.6136229588435245,0.0,0.0,0.0,0.0
