target_domain,repeat,seed,epoch,split,loss,acc,precision,recall,f1
逆光,5,4,1,train,18.13469745266822,0.1502016129032258,0.09757880632865354,0.10230994755964506,0.08426389594115302
逆光,5,4,1,source_val,2.337637456010752,0.19844357976653695,0.04451030146947432,0.11658026113671274,0.057940925287864056
逆光,5,4,1,target_test,2.6523656071843327,0.16216216216216217,0.02142857142857143,0.1,0.03529411764705882
逆光,5,4,2,train,15.780806833697904,0.21975806451612903,0.1564125937175916,0.1539086323325904,0.13072270652801682
逆光,5,4,2,source_val,2.098563054192391,0.27626459143968873,0.18201848366841195,0.17965352497491965,0.12556648929480688
逆光,5,4,2,target_test,2.7542166903212264,0.10810810810810811,0.04090909090909091,0.0606060606060606,0.046831955922865015
逆光,5,4,3,train,-10.87229617949455,0.2368951612903226,0.2223733112125126,0.18499369357324058,0.17662594909718718
逆光,5,4,3,source_val,15.582175124943952,0.17120622568093385,0.042259316770186336,0.1383197447713577,0.06459102052322392
逆光,5,4,3,target_test,31.383299956450593,0.13513513513513514,0.04132231404958678,0.07575757575757576,0.053475935828877004
逆光,5,4,4,train,-16064.360538359611,0.15120967741935484,0.12055125370604432,0.12908257056966785,0.11829937233409613
逆光,5,4,4,source_val,14.560476005773136,0.1556420233463035,0.060507986978575214,0.1341880341880342,0.07468729427254772
逆光,5,4,4,target_test,31.89292454075169,0.0,0.0,0.0,0.0
逆光,5,4,5,train,-342961.88722278224,0.10887096774193548,0.10512571509290758,0.09716037870779484,0.07639477766940779
逆光,5,4,5,source_val,29.330751536885124,0.14785992217898833,0.028611792467476017,0.12783882783882786,0.045834727333556376
逆光,5,4,5,target_test,7.237360181035222,0.02702702702702703,0.01,0.1,0.01818181818181818
逆光,5,4,6,train,-2022524.6955645161,0.11088709677419355,0.06791518620871166,0.07472068800841092,0.04100705371284162
逆光,5,4,6,source_val,2.636569262478602,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
逆光,5,4,6,target_test,2.6394815316071383,0.0,0.0,0.0,0.0
逆光,5,4,7,train,-6844803.814516129,0.1219758064516129,0.04416909620991254,0.07886904761904763,0.027435187515731183
逆光,5,4,7,source_val,2.6355994026020806,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
逆光,5,4,7,target_test,2.6384086480011812,0.0,0.0,0.0,0.0
逆光,5,4,8,train,-17886098.06451613,0.11794354838709678,0.032221416485375874,0.07380952380952381,0.019380256437477147
逆光,5,4,8,source_val,2.6346437615643215,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
逆光,5,4,8,target_test,2.6373908068682694,0.0,0.0,0.0,0.0
逆光,5,4,9,train,-40098204.96774194,0.11693548387096774,0.008352534562211982,0.07142857142857142,0.014956162970603402
逆光,5,4,9,source_val,2.633693778561247,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
逆光,5,4,9,target_test,2.636325269132047,0.0,0.0,0.0,0.0
逆光,5,4,10,train,-77158213.29032259,0.1159274193548387,0.02613240418118467,0.0710899014778325,0.01650587507730365
逆光,5,4,10,source_val,2.632783500137032,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
逆光,5,4,10,target_test,2.635389102471841,0.0,0.0,0.0,0.0
逆光,5,4,11,train,-140167874.70967743,0.11693548387096774,0.008352534562211982,0.07142857142857142,0.014956162970603402
逆光,5,4,11,source_val,2.631863000327975,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
逆光,5,4,11,target_test,2.6344196603104875,0.0,0.0,0.0,0.0
逆光,5,4,12,train,-233687963.61290324,0.1159274193548387,0.008314054366685945,0.0708128078817734,0.014880952380952382
逆光,5,4,12,source_val,2.6309569744748362,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
逆光,5,4,12,target_test,2.633463414939674,0.0,0.0,0.0,0.0
逆光,5,4,13,train,-361701200.2580645,0.11693548387096774,0.008352534562211982,0.07142857142857142,0.014956162970603402
逆光,5,4,13,source_val,2.630067851292948,0.11673151750972763,0.008337965536409116,0.07142857142857142,0.014932802389248382
逆光,5,4,13,target_test,2.632525005856076,0.0,0.0,0.0,0.0
